Country Name,"Country Code","Indicator Name","Indicator Code","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
United States,"USA","Individuals using the Internet (% of population)","IT.NET.USER.ZS","0.784728502202794","1.16319372626656","1.72420253908365","2.27167329376237","4.862780634624","9.23708829729378","16.4193529600768","21.6164009686742","30.093196588091","35.8487244559914","43.0791626375201","49.0808315896951","58.7854038836952","61.6971171244207","64.7582564759896","67.968052915002","68.9311932699721","75","74","71","71.69","69.7294607619268","74.7","71.4","73","74.5542024462761","76.176736982841","","",
Indonesia,"IDN","Individuals using the Internet (% of population)","IT.NET.USER.ZS","0","","","","0.00105974438244869","0.0261094771945335","0.0566239887373857","0.194910263619177","0.255306646259756","0.444415935985143","0.925563864466858","2.01861385948459","2.13413573295808","2.38701977959476","2.60028587633414","3.60202476259646","4.76481313366657","5.78627472934199","7.91747938492903","6.92","10.92","12.28","14.52","14.94","17.14","21.9760677113476","25.45","32.2924418958799",""
