lemah ya kamu
mati mati mati jangan bodoh lu walaupun gue gak begitu kenal jengkel juga lihat status lu
alay kontol
mati saja hidup itu keras setelah kau mati kesusahan di dunia tidak akan ada lagi
mending nadi langsung bosku biar viral hehe
paling besok juga sembuh
shame on you
lebay
tato 2018
satu kata buat lu tolol
lebay cok dikira situ doang yang punya masalah
kayak sudah pernah ke neraka aja mba emang situ bisa ngatasin perihnya neraka think again
Wih bang indra hebat dalam sekejap bisa jadi selebritis tapi sayang jadi seleb yang oon yang rela buang sia-sia hidupnya demi cinta orang yang sakit dan dah divonis mati aja masih terus berjuang untuk bisa hidup bang eh ini malah dibuang sia2 hemmm bagi pihak keluarga maaf ya dan banyak diberi ketabahan lahir + batin
Cuma karna cinta rela mati disangka nyawa ada 9 kali
Saya cuma bisa mendoakan saja semoga pahinggar indrawan tenang di alam sana dan peristirahatan terahir tetapi buat yang sudah menyimak sayangilah nyawa kalian karna kita hidup cuma sekali
Kalau dilihat-lihat sih kayaknya mau main-main saja tetapi apalah daya setan sudah campur tangan ya modar lah pada akhirnya
Sadis videonya
ahahahaha mati kok bunuh diri pakai cara lain kenapa
mati konyol itu orang melakukan hal yang dilaknat oleh allah
mas bunuh diri itu tidak baik karna mati adalah kehendak tuhan yang maha esa jika bunuh diri di alam barzha akan disiksa ya allah semoga sampeyan diterima amal baiknya
astagfirrullahhaladzim
makanya koreksi diri
kebodohan kok dipelihara emang cuma dia wanita
tidak ada dosa yg diampuni buat orang yang bunuh diri macam dia
mati anjing
pekok
kenapa gak harus tobat kenapa harus bunuh diri
kasihan masih muda tetapi kok bego hedew
ea betul bego banget padahal cewe banyak kan
ini adalah contoh orang yang tidak mengerti ilmu agama sebesar apapun masalah yang dialami harusnya kita lebih mendekatkan diri kepada allah dengan cara memperbanyak ibadah kalau kita dekat dengan allah pasti allah juga akan dekat dengan kita kalau allah sudah dekat dengan kita maka allah akan memuliakan kita dan kita akan dibahagiakan di dunia dan akhirat tidak akan mungkin allah membiarkan kita tersiksa bukannya malah gantung diri perbuatan percuma yang malah membuat kita tersiksa di neraka untuk selamanya
Dia sebenarnya gak tahu kalau sakitnya banget  sebelum nyawanya hilang dia pasti nyesel dan pengen dsielamatkan lihat aja pas tangannya megang tali dia pengen melepaskan diri tahu sudah takdir dia Doakan yg terbaik saja
Kalo ia mabuk Cinta jika diapakan frustasi itu ia dimasuki setan jd siapapun bisa melakukan itu makanya sayang sama orang itu biasa-biasa saja
goblok memberi contoh yg gak benar ini tetapi mau bagaimana lagi kalau kayak gitu tu mati bukan karena allah tapi karena ulah
Puntung neraka orang bodoh masih banyak cewe dunia luas Di akhirat gak diterima Masuk lah neraka situ
Apa kabar lu di neraka  Sehat kan  Gimana enak menggantung terus di sana 
Mau ngeledekin tp takut dijudge Mau dikasihani tapi  Dia imannya gak kuat
Orang gak depresi karena dia tidak dekat dengan sang pencipta coba dia menjalankan perintah sang pencipta maka dia akan melakukan hal baik dalam hidupnya
gapapa sekali sekali ada yg bunuh diri di mall elite biar seru
Mungkin PRANK
Kalo beneran sengaja loncat gak ada otak sih sudah stres ngerepotin orang mall ngerepotin keluarga juga
masa kecil kurang bahagia
Gabut paling itu
Kok gak mati
miskin pengetahuan agamanya lol
Kurang iman dan ngaji makanya perbanyak baca Alquran bukan Baca instagram dan facebook
Payah
Bedebah tuh orang
Yah tuh dia sudah gak punya iman git deh  Dia belum tau kali di akhirat ntar gimana di neraka selama-lamanya
Lagi tren kali lompat melompat hahaha COWO BODOH
Ngapa sih tu orang
Kurang dekatnya diri dari Allah SWT
Murah banget hidup bunuh diri itu bukan jalan keluar
Depresi karena kurangnya mendekatkan diri kepada sang pencipta
Biar apa sih loncat2
Sayang banget gak mati jadi cacat kan tuh ada-ada aja yaa ya allah
Mana ada orang bunuh diri yg masuk surga Mana ada orang yg bunuh diri diampuni dosa-dosanya Nabi aja gak mau sholatkan jenazah yg mati karena bunuh diri
bego lu
Marilah kuatkan iman kita agar kita terhindar dari rayuan setan yg menyesatkan astaghfirullahaladziiim banyak-banyaklah istigfar
aduh kasihan orangnya sudah modar
Ya allah apa yg dia perbuat melaknat diri sendiri
Naudzubillahhiminzalik
mati aja
tidak mungkin diterima kalau masuk neraka pasti
tetapi bunuh diri memang dilarang dan selamanya dia akan menyakiti dirinya sendiri seperti cara dia bunuh diri
Imannya kurang cinta itu mutlak hanya milik allah swt itu adalah cinta yg sebenarnya cinta terhadap makhluk boleh tapi jangan terus kayak gini Ini sama saja mencintai makhluk melebihi penciptanya Yang jelas bunuh diri dalam islam itu dilarang dan berdosa amat besar sama saja dengan menduakan tuhan karena telah mendahului ajal Mengenai masalah masuk surga atau neraka itu hanya allah lah yg maha tahu
